instance,data_set,n_items,ordering,selection,placement,height,lower_bound,gap_pct
C1P1,data/c,16,width,widest-fit,LM,22,20,10.0000
C1P1,data/c,16,width,widest-fit,RM,22,20,10.0000
C1P1,data/c,16,width,widest-fit,TN,24,20,20.0000
C1P1,data/c,16,width,widest-fit,SN,22,20,10.0000
C1P1,data/c,16,width,widest-fit,MinD,22,20,10.0000
C1P1,data/c,16,width,widest-fit,MaxD,24,20,20.0000
C1P1,data/c,16,width,first-fit,LM,23,20,15.0000
C1P1,data/c,16,width,first-fit,RM,23,20,15.0000
C1P1,data/c,16,width,first-fit,TN,23,20,15.0000
C1P1,data/c,16,width,first-fit,SN,23,20,15.0000
C1P1,data/c,16,width,first-fit,MinD,23,20,15.0000
C1P1,data/c,16,width,first-fit,MaxD,24,20,20.0000
C1P1,data/c,16,width,tre,LM,22,20,10.0000
C1P1,data/c,16,width,tre,RM,22,20,10.0000
C1P1,data/c,16,width,tre,TN,22,20,10.0000
C1P1,data/c,16,width,tre,SN,22,20,10.0000
C1P1,data/c,16,width,tre,MinD,21,20,5.0000
C1P1,data/c,16,width,tre,MaxD,22,20,10.0000
C1P1,data/c,16,width,nre,LM,21,20,5.0000
C1P1,data/c,16,width,nre,RM,21,20,5.0000
C1P1,data/c,16,width,nre,TN,22,20,10.0000
C1P1,data/c,16,width,nre,SN,21,20,5.0000
C1P1,data/c,16,width,nre,MinD,21,20,5.0000
C1P1,data/c,16,width,nre,MaxD,22,20,10.0000
C1P1,data/c,16,width,fitness-number,LM,21,20,5.0000
C1P1,data/c,16,width,fitness-number,RM,21,20,5.0000
C1P1,data/c,16,width,fitness-number,TN,21,20,5.0000
C1P1,data/c,16,width,fitness-number,SN,21,20,5.0000
C1P1,data/c,16,width,fitness-number,MinD,21,20,5.0000
C1P1,data/c,16,width,fitness-number,MaxD,21,20,5.0000
C1P1,data/c,16,width,max-area,LM,22,20,10.0000
C1P1,data/c,16,width,max-area,RM,26,20,30.0000
C1P1,data/c,16,width,max-area,TN,23,20,15.0000
C1P1,data/c,16,width,max-area,SN,26,20,30.0000
C1P1,data/c,16,width,max-area,MinD,26,20,30.0000
C1P1,data/c,16,width,max-area,MaxD,22,20,10.0000
C1P1,data/c,16,height,widest-fit,LM,22,20,10.0000
C1P1,data/c,16,height,widest-fit,RM,21,20,5.0000
C1P1,data/c,16,height,widest-fit,TN,25,20,25.0000
C1P1,data/c,16,height,widest-fit,SN,21,20,5.0000
C1P1,data/c,16,height,widest-fit,MinD,21,20,5.0000
C1P1,data/c,16,height,widest-fit,MaxD,23,20,15.0000
C1P1,data/c,16,height,first-fit,LM,26,20,30.0000
C1P1,data/c,16,height,first-fit,RM,25,20,25.0000
C1P1,data/c,16,height,first-fit,TN,23,20,15.0000
C1P1,data/c,16,height,first-fit,SN,26,20,30.0000
C1P1,data/c,16,height,first-fit,MinD,25,20,25.0000
C1P1,data/c,16,height,first-fit,MaxD,23,20,15.0000
C1P1,data/c,16,height,tre,LM,24,20,20.0000
C1P1,data/c,16,height,tre,RM,22,20,10.0000
C1P1,data/c,16,height,tre,TN,23,20,15.0000
C1P1,data/c,16,height,tre,SN,22,20,10.0000
C1P1,data/c,16,height,tre,MinD,22,20,10.0000
C1P1,data/c,16,height,tre,MaxD,24,20,20.0000
C1P1,data/c,16,height,nre,LM,25,20,25.0000
C1P1,data/c,16,height,nre,RM,25,20,25.0000
C1P1,data/c,16,height,nre,TN,24,20,20.0000
C1P1,data/c,16,height,nre,SN,22,20,10.0000
C1P1,data/c,16,height,nre,MinD,22,20,10.0000
C1P1,data/c,16,height,nre,MaxD,24,20,20.0000
C1P1,data/c,16,height,fitness-number,LM,26,20,30.0000
C1P1,data/c,16,height,fitness-number,RM,26,20,30.0000
C1P1,data/c,16,height,fitness-number,TN,26,20,30.0000
C1P1,data/c,16,height,fitness-number,SN,26,20,30.0000
C1P1,data/c,16,height,fitness-number,MinD,26,20,30.0000
C1P1,data/c,16,height,fitness-number,MaxD,26,20,30.0000
C1P1,data/c,16,height,max-area,LM,26,20,30.0000
C1P1,data/c,16,height,max-area,RM,25,20,25.0000
C1P1,data/c,16,height,max-area,TN,23,20,15.0000
C1P1,data/c,16,height,max-area,SN,26,20,30.0000
C1P1,data/c,16,height,max-area,MinD,25,20,25.0000
C1P1,data/c,16,height,max-area,MaxD,23,20,15.0000
C1P1,data/c,16,area,widest-fit,LM,22,20,10.0000
C1P1,data/c,16,area,widest-fit,RM,21,20,5.0000
C1P1,data/c,16,area,widest-fit,TN,24,20,20.0000
C1P1,data/c,16,area,widest-fit,SN,21,20,5.0000
C1P1,data/c,16,area,widest-fit,MinD,21,20,5.0000
C1P1,data/c,16,area,widest-fit,MaxD,24,20,20.0000
C1P1,data/c,16,area,first-fit,LM,22,20,10.0000
C1P1,data/c,16,area,first-fit,RM,23,20,15.0000
C1P1,data/c,16,area,first-fit,TN,23,20,15.0000
C1P1,data/c,16,area,first-fit,SN,22,20,10.0000
C1P1,data/c,16,area,first-fit,MinD,21,20,5.0000
C1P1,data/c,16,area,first-fit,MaxD,23,20,15.0000
C1P1,data/c,16,area,tre,LM,22,20,10.0000
C1P1,data/c,16,area,tre,RM,21,20,5.0000
C1P1,data/c,16,area,tre,TN,21,20,5.0000
C1P1,data/c,16,area,tre,SN,21,20,5.0000
